term,target_count,reference_count,target_per10k,reference_per10k,log_odds,z,g2
genetic susceptibility,7,4,1.2693116704141583,0.2709439687872548,1.5272034573770021,2.4510616278049144,6.348008968685945
evidence support,11,10,1.9946326249365345,0.677359921968137,1.0685121648391522,2.4507786677986374,5.9296602895571
people intellectual,9,7,1.6319721476753464,0.4741519453776959,1.2208241979431183,2.442853847353111,5.951351770659529
department education,15,17,2.7199535794589105,1.1515118673458329,0.8516269974883333,2.4350521710724107,5.618261495646628
sleep disturbances,12,12,2.175962863567128,0.8128319063617644,0.9736160754702006,2.3909565462857665,5.59693830680146
therapeutic target,5,1,0.9066511931529703,0.0677359921968137,2.5062122421797266,2.3856651423569186,8.249075079131321
receptive language,5,1,0.9066511931529703,0.0677359921968137,2.5626344786916313,2.3653505200152285,8.249075079131321
communication needs,5,1,0.9066511931529703,0.0677359921968137,2.5651465439054952,2.3644395853892926,8.249075079131321
plan federal,5,1,0.9066511931529703,0.0677359921968137,2.5651465439054952,2.3644395853892926,8.249075079131321
implementation evaluation,5,1,0.9066511931529703,0.0677359921968137,2.5689326120679077,2.36306558972948,8.249075079131321
new federal,5,1,0.9066511931529703,0.0677359921968137,2.5714687296817917,2.3621444842660475,8.249075079131321
mechanistic studies,5,1,0.9066511931529703,0.0677359921968137,2.572740434010802,2.3616823871129897,8.249075079131321
care developmental,5,1,0.9066511931529703,0.0677359921968137,2.572740434010802,2.3616823871129897,8.249075079131321
guidance address,5,1,0.9066511931529703,0.0677359921968137,2.572740434010802,2.3616823871129897,8.249075079131321
communication motor,5,1,0.9066511931529703,0.0677359921968137,2.574014579386409,2.361219255004254,8.249075079131321
review clinical,5,1,0.9066511931529703,0.0677359921968137,2.574014579386409,2.361219255004254,8.249075079131321
measures outcomes,5,1,0.9066511931529703,0.0677359921968137,2.574014579386409,2.361219255004254,8.249075079131321
timely evaluation,5,1,0.9066511931529703,0.0677359921968137,2.574014579386409,2.361219255004254,8.249075079131321
reflect true,5,1,0.9066511931529703,0.0677359921968137,2.575291173880963,2.360755083908746,8.249075079131321
postural control,5,1,0.9066511931529703,0.0677359921968137,2.575291173880963,2.360755083908746,8.249075079131321
sleep interventions,5,1,0.9066511931529703,0.0677359921968137,2.575291173880963,2.360755083908746,8.249075079131321
autonomic measures,5,1,0.9066511931529703,0.0677359921968137,2.575291173880963,2.360755083908746,8.249075079131321
agenda priority,5,1,0.9066511931529703,0.0677359921968137,2.575291173880963,2.360755083908746,8.249075079131321
data set,6,3,1.087981431783564,0.2032079765904411,1.6619038220122118,2.359756401264104,6.072352717403385
support professionals,6,3,1.087981431783564,0.2032079765904411,1.6624351040532481,2.359460749141532,6.072352717403385
irritability aggression,6,3,1.087981431783564,0.2032079765904411,1.6635002296558294,2.358869213351713,6.072352717403385
developmental skills,6,3,1.087981431783564,0.2032079765904411,1.663767046263155,2.358721280925344,6.072352717403385
safety concerns,6,3,1.087981431783564,0.2032079765904411,1.664301323600954,2.35842535760761,6.072352717403385
speaking individuals,6,3,1.087981431783564,0.2032079765904411,1.664301323600954,2.35842535760761,6.072352717403385
health systems,8,6,1.4506419090447522,0.4064159531808822,1.2593942111967564,2.339781234801329,5.520979224086416
research agenda,8,6,1.4506419090447522,0.4064159531808822,1.2596601885790086,2.339157408705488,5.520979224086416
supporting agencies,60,0,10.879814317835642,0.0,7.404022089489406,2.303574938372775,156.25214006580615
current evidence,5,2,0.9066511931529703,0.1354719843936274,1.8576540792900023,2.2707827998969683,5.914833258709846
autistic people,30,47,5.439907158917821,3.183591633250244,0.5274251563040417,2.2641588468058234,5.001254456604556
