term,target_count,reference_count,target_per10k,reference_per10k,log_odds,z,g2
elucidate,0,9,0.0,0.6095908967759415,-4.610936172927934,-0.8477691174213041,5.713004726153825
screener,0,9,0.0,0.6095908967759415,-4.610936172927934,-0.8477691174213041,5.713004726153825
inherent,0,15,0.0,1.0159848279599024,-5.456125904128481,-0.848736564671229,9.52167454358971
dedicated,3,14,0.543980851874014,0.948252506095909,-0.5295645061402681,-0.849677060870536,0.8556860026839441
widely,8,30,1.4506156049973709,2.031969655919805,-0.3359857938400044,-0.8503984225129331,0.7637471777158904
start,2,11,0.3626539012493427,0.7450555405039285,-0.6176649741328859,-0.8542057515902991,1.028672427553539
mild,0,10,0.0,0.677323218639935,-4.764556879931186,-0.8551298854470082,6.347783029059806
kaiser,0,10,0.0,0.677323218639935,-4.764556879931186,-0.8551298854470082,6.347783029059806
collective,0,10,0.0,0.677323218639935,-4.764556879931186,-0.8551298854470082,6.347783029059806
matthew,0,8,0.0,0.541858574911948,-4.360687537100905,-0.8566600355383575,5.078226423247845
postdoctoral,0,8,0.0,0.541858574911948,-4.360687537100905,-0.8566600355383575,5.078226423247845
collaborate,0,6,0.0,0.406393931183961,-3.789054769067837,-0.8579290567907282,3.8086698174358835
establishment,0,9,0.0,0.6095908967759415,-4.564594981666604,-0.8589223138862516,5.713004726153825
sponsored,0,9,0.0,0.6095908967759415,-4.564594981666604,-0.8589223138862516,5.713004726153825
indirect,0,9,0.0,0.6095908967759415,-4.564594981666604,-0.8589223138862516,5.713004726153825
navigating,0,9,0.0,0.6095908967759415,-4.564594981666604,-0.8589223138862516,5.713004726153825
internet,0,13,0.0,0.8805201842319155,-5.188344667156379,-0.8589914122354705,8.252117937777747
interplay,0,13,0.0,0.8805201842319155,-5.188344667156379,-0.8589914122354705,8.252117937777747
biomaterials,0,12,0.0,0.812787862367922,-5.051446825770361,-0.8604399438692398,7.617339634871767
generalizability,0,12,0.0,0.812787862367922,-5.051446825770361,-0.8604399438692398,7.617339634871767
crosscutting,0,12,0.0,0.812787862367922,-5.051446825770361,-0.8604399438692398,7.617339634871767
screened,1,7,0.18132695062467136,0.4741262530479545,-0.8764131728310396,-0.8620257571908955,1.0193803731307638
business,0,7,0.0,0.4741262530479545,-4.074605372403726,-0.8639080007181226,4.4434481203418645
father,0,6,0.0,0.406393931183961,-3.75855005488652,-0.8641036516256883,3.8086698174358835
colored,0,6,0.0,0.406393931183961,-3.75855005488652,-0.8641036516256883,3.8086698174358835
yale,0,5,0.0,0.3386616093199675,-3.3396933253032373,-0.8642425551724333,3.173891514529903
michael,0,8,0.0,0.541858574911948,-4.320066504330754,-0.8660942189549407,5.078226423247845
simplex,0,8,0.0,0.541858574911948,-4.320066504330754,-0.8660942189549407,5.078226423247845
inherited,3,14,0.543980851874014,0.948252506095909,-0.5461469452598777,-0.8683112203863786,0.8556860026839441
merge,0,9,0.0,0.6095908967759415,-4.520322011490492,-0.8696311166583319,5.713004726153825
probiotics,0,9,0.0,0.6095908967759415,-4.520322011490492,-0.8696311166583319,5.713004726153825
chromosome,0,6,0.0,0.406393931183961,-3.7289639649723743,-0.8700801277072131,3.8086698174358835
neuropathology,1,7,0.18132695062467136,0.4741262530479545,-0.8923988898561603,-0.8704142453129055,1.0193803731307638
sophisticated,0,14,0.0,0.948252506095909,-5.26230874871373,-0.8713023834025941,8.886896240683729
appreciation,0,14,0.0,0.948252506095909,-5.26230874871373,-0.8713023834025941,8.886896240683729
drexel,0,7,0.0,0.4741262530479545,-4.0397433537224146,-0.8715785864248334,4.4434481203418645
singer,0,7,0.0,0.4741262530479545,-4.0397433537224146,-0.8715785864248334,4.4434481203418645
renewed,0,7,0.0,0.4741262530479545,-4.0397433537224146,-0.8715785864248334,4.4434481203418645
paid,3,14,0.543980851874014,0.948252506095909,-0.5494332712177226,-0.8719584001159617,0.8556860026839441
communicating,0,11,0.0,0.7450555405039285,-4.859580910691337,-0.8723114911248931,6.982561331965787
lgbtqia,0,11,0.0,0.7450555405039285,-4.859580910691337,-0.8723114911248931,6.982561331965787
possibility,3,14,0.543980851874014,0.948252506095909,-0.5510827658715272,-0.873783353810115,0.8556860026839441
attitudes,0,8,0.0,0.541858574911948,-4.281046712542871,-0.8751815528866209,5.078226423247845
curricula,0,8,0.0,0.541858574911948,-4.281046712542871,-0.8751815528866209,5.078226423247845
heightened,3,14,0.543980851874014,0.948252506095909,-0.5527365063573217,-0.8756092139080842,0.8556860026839441
disruptive,0,6,0.0,0.406393931183961,-3.7002432301227817,-0.8758687212376295,3.8086698174358835
flat,0,5,0.0,0.3386616093199675,-3.27165643682544,-0.8759441926324537,3.173891514529903
toxins,0,7,0.0,0.4741262530479545,-4.006071050601527,-0.8789900051628918,4.4434481203418645
nimh,16,55,2.9012312099947417,3.7252777025196426,-0.24786827376729548,-0.8796280524842885,0.8098309334771532
